title,first_name,occupation,nationality,birth_year,age,article,url
leo anchóriz,leo,actor,Spanish,1932,54,"leopoldo de anchóriz fustel ( september 22, 1932 in almería, spain - february 17, 1987 in madrid, spain ) was a spanish actor and writer, most notable for appearing in `` spaghetti western films.",https://en.wikipedia.org/wiki/index.php?curid=38261041
d. g. e. hall,daniel,historian,British,1891,87,"daniel george edward hall ( 1891-1979 ) was a british historian, author, and academic. he wrote extensively on the history of burma. his most notable work is `` a history of southeast asia '', said to ''... remain the most important single history of the region, providing encyclopedic coverage of material published up to the time of its 1981 revision. '' he held professorships in southeast asian history at both cornell university and the university of london - where he eventually became professor emeritus.",https://en.wikipedia.org/wiki/index.php?curid=24638719
colin sharp,colin,actor,British,1953,56,"colin ainsley sharp ( 5 september 1953 -- 7 september 2009 ) was an english actor, biographer, percussionist and singer-songwriter, who was part of the manchester music scene of the late 1970s and dedicated to arts in newcastle upon tyne.",https://en.wikipedia.org/wiki/index.php?curid=24008187
david m. walker ( astronaut ),david,pilot,American,1944,56,"david mathieson `` dave '' walker ( may 20, 1944 -- april 23, 2001 ), ( capt, usn ), was an american naval officer and aviator, fighter pilot, test pilot, and a former nasa astronaut. he flew aboard four space shuttle missions in the 1980s and 1990s.",https://en.wikipedia.org/wiki/index.php?curid=563249
edward david miles,edward,businessperson,Welsh,1845,77,"edward david miles ( 27 january 1845 -- 3 march 1922 ) was a businessman, and member of the queensland legislative council.",https://en.wikipedia.org/wiki/index.php?curid=46192361
anna bloch,anna,actor,Danish,1868,85,"anna kirstine bloch ( née lindemann, 2 february 1868 in horsens -- 25 november 1953 in copenhagen ) was a danish actress. she was admitted to the royal danish theater, was a student of and debuted in 1885 as titania in william shakespeare 's `` a midsummer night 's dream ''. between her first two roles she was taught by her husband to be,: they were married in 1887. together they wrote `` miss nelly '' in 1886, in which anna bloch later played the main role. her breakthrough came in 1888 as trina in `` april fools '' by johan ludvig heiberg. another early role was that of hilde in ibsen 's `` the lady from the sea '' in 1889. bloch was awarded the ingenio et arti gold medal in 1910. this was the 25th anniversary of her first role, and in a commentary for `` politiken '', danish writer emma gad says that bloch could make a normally insignificant role seem important to a play, as with the `` brilliant and peculiar humour '' of her portrayal of the `` noble slut '' ( ) eugenia in ludvig holberg 's `` don ranudo de colibrados ''. for gad, her most memorable performance was as the peasant girl anjutha in tolstoy 's `` the power of darkness '', where she was `` gripped by a fear so wild '' that `` her mysterious horror... rippled down to the auditorium and ran like a shudder from row to row. '' bloch left the royal theatre in 1918, although she returned for a season as guest actress and rejoined from 1922 -- 25. she found herself typecast as the young girl or woman, even playing the fourteen-year-old hedevig in ibsen 's `` the wild duck '' in 1921 at the age of 53. only really at home in 19th century theatre and unable to find suitable roles in the new era which began after the first world war, she was overtaken by the naturalism in theatre arts which she had helped pioneer. she did however tour the provinces, and appeared at the betty nansen teatret. she can be heard in a scene from jens christian hostrup 's '' '' ( `` the neighbours across the road '' ) recorded in 1938. she wrote a one-act comedy '' '' ( `` such bills '' ). the royal theatre presented this in 1923 with bloch in the leading role and it was published in 1924. she also wrote two radio dramas, `` epilog '' in 1934 and `` veni, vidi, vici '' in 1935. anna bloch is buried in vestre cemetery, copenhagen.",https://en.wikipedia.org/wiki/index.php?curid=28720186
helen allingham,helen,illustrator,British,1848,78,helen allingham ( née helen mary elizabeth paterson ) ( 26 september 1848 -- 28 september 1926 ) was an english watercolour painter and illustrator of the victorian era.,https://en.wikipedia.org/wiki/index.php?curid=3641471
don anderson,don,official,Australian,1917,58,sir donald george `` don '' anderson ( 1 march 191730 november 1975 ) was a senior australian public servant. he was director-general of the department of civil aviation from january 1956 until september 1973.,https://en.wikipedia.org/wiki/index.php?curid=45281487
adrian gibson,adrian,lawyer,Australian,1935,79,"adrian gibson oam ( born 3 november 1935 ) is a retired australian politician. born in hobart, tasmania, he was educated there at hutchins school and at the university of tasmania where he graduated with a bachelor of laws in 1959. he became a barrister in 1959, as well as a company director and grazier. in 1964, he was elected to the australian house of representatives as a member of the liberal party, winning a by-election for the seat of denison. he held the seat until his retirement in 1969. gibson was awarded the medal of the order of australia ( oam ) on australia day, 2014, ` for service to the arts, to agriculture, and to the parliament of australia '. he currently resides in armadale, victoria.",https://en.wikipedia.org/wiki/index.php?curid=20130544
joe robbie,joe,lawyer,American,1916,73,"joseph `` joe '' robbie ( july 7, 1916 -- january 7, 1990 ) was an american entrepreneur, politician and lawyer.",https://en.wikipedia.org/wiki/index.php?curid=953194
robert t. tobin,robert,educator,American,1910,97,"robert terry tobin ( september 10, 1910 -- september 13, 2007 ) was an african-american educator who became the first member of his race to have served as mayor of minden, a small city of about 13,000 residents and the seat of government of webster parish in northwestern louisiana. mayor tobin 's ten-month tenure in 1989 occurred before the 2000 u.s. census confirmed minden 's status as a majority black locality.",https://en.wikipedia.org/wiki/index.php?curid=13296497
carl reichenbach,carl,chemist,German,1788,80,"baron dr. carl ( karl ) ludwig von reichenbach ( full name: karl ludwig freiherr von reichenbach ) ( february 12, 1788january 1869 ) was a notable chemist, geologist, metallurgist, naturalist, industrialist and philosopher, and a member of the prestigious prussian academy of sciences. he is best known for his discoveries of several chemical products of economic importance, extracted from tar, such as eupione, waxy paraffin, pittacal ( the first synthetic dye ) and phenol ( an antiseptic ). he also dedicated himself in his last years to research an unproved field of energy combining electricity, magnetism and heat, emanating from all living things, which he called the odic force.",https://en.wikipedia.org/wiki/index.php?curid=2055641
george rice carpenter,george,educator,American,1863,45,"george rice carpenter ( october 25, 1863 -- april 8, 1909 ) was a noted educator, scholar and author. he was a descendant of the rehoboth carpenter family and edmund rice of massachusetts.",https://en.wikipedia.org/wiki/index.php?curid=8896906
ferdinand flocon,ferdinand,journalist,French,1800,65,ferdinand flocon ( 1 november 1800 -- 15 march 1866 ) was a french journalist and politician who was one of the founding members of the provisional government at the start of the french second republic in 1848. he was minister of agriculture and commerce for the executive commission of 1848. he opposed louis napoleon and was forced into exile in the second french empire ( 1852 -- 1870 ).,https://en.wikipedia.org/wiki/index.php?curid=42252348
colin syme,colin,lawyer,Australian,1903,82,"sir colin york syme ( 22 april 190319 january 1986 ) was an australian lawyer, businessman, technological innovator, and medical research administrator. he was noted as chairman of bhp for nineteen years ( 1952 -- 71 ), and president of the walter and eliza hall institute of medical research for seventeen years ( 1961 -- 78 ). colin syme studied in perth, melbourne and sydney before joining the melbourne legal firm of hedderwick, fookes and alston in 1923. an articled clerk, syme had ambitions to become a barrister, but after the premature death of bruce hedderwick in 1925, he accepted an offer to stay at the firm and was made a partner in 1928, remaining so until 1966. meanwhile, in 1937, he became a director of bhp and many of its subsidiaries, including tubemakers of australia, australian iron and steel, rylands bros and the commonwealth aircraft corporation. he was also a director of several other companies, including imperial chemical industries of australia and new zealand, elder smith goldsbrough mort, the private investment company for asia and the international iron and steel institute. in 1972, the federal government set up a committee under the chairmanship of sir colin syme to advise it on science and technology. it was known as the syme committee. in 1973 he and dr sir lance townsend co-chaired an inquiry into victorian health services, which produced findings widely known as the syme-townsend report, a major outcome of which was the creation of the health commission of victoria. late in his career, he was president of the walter and eliza hall institute of medical research. when he retired from the latter position in 1978, the board established the colin syme fellowship fund, to nurture the career development of a talented young investigator within the institute.",https://en.wikipedia.org/wiki/index.php?curid=11763473
robert pritzker,robert,businessperson,American,1926,85,"robert alan pritzker ( june 30, 1926 -- october 27, 2011 ) was a member of the wealthy pritzker family.",https://en.wikipedia.org/wiki/index.php?curid=1318658
susan sontag,susan,novelist,American,1933,71,"susan sontag (; january 16, 1933 -- december 28, 2004 ) was an american writer and filmmaker, teacher and political activist, publishing her first major work, the essay `` notes on ` camp ' '', in 1964. her best known works include `` on photography '', `` against interpretation '', `` styles of radical will '', `` the way we live now '', `` illness as metaphor '', `` regarding the pain of others '', `` the volcano lover '' and `` in america ''. sontag was active in writing and speaking about, or travelling to, areas of conflict, including during the vietnam war and the siege of sarajevo. she wrote extensively about photography, culture and media, aids and illness, human rights, and communism and leftist ideology. `` the new york review of books '' called her `` one of the most influential critics of her generation. '' however, her essays and speeches sometimes drew criticism.",https://en.wikipedia.org/wiki/index.php?curid=295860
miguel antonio caro,miguel,journalist,Colombian,1845,63,"miguel antonio caro tobar ( november 10, 1845 -- august 5, 1909 ) was a colombian scholar, poet, journalist, philosopher, orator, philologist, lawyer and politician.",https://en.wikipedia.org/wiki/index.php?curid=9492384
solomon loeb,solomon,banker,American,1828,75,"solomon loeb ( june 29, 1828 -- december 12, 1903 ) was a german-born american banker and businessman. he was a merchant in textiles and later a banker with kuhn, loeb & co.. his father, a devout jew, had been a small corn - and wine-dealer in worms, which belonged to the grand duchy of hesse and by rhine. s. loeb emigrated to the united states in 1849. he settled in cincinnati with textiles merchants kuhn, netter & co.. he moved to new york city in 1865 and with his partner abraham kuhn started the banking house of kuhn, loeb and co.. his second born son james loeb joined the bank in 1888 ( and left in 1901 ). salomon loeb gradually retired from running the business, but left kuhn, loeb & co. only in 1899. he then started to move into the real estate business. in addition, he was also a generous philanthropist. among his donations was the hebrew charities building that formerly stood at second avenue and 21st street in new york city.",https://en.wikipedia.org/wiki/index.php?curid=1175317
mac hyman,mac,novelist,American,1923,39,"mac hyman ( born mackenzie hooks hyman; august 25, 1923july 17, 1963 ), was an american fiction writer who is known for his best-selling novel `` no time for sergeants '', which was adapted into a popular broadway play and a motion picture.",https://en.wikipedia.org/wiki/index.php?curid=4293295
j. marvin hunter,john,journalist,American,1880,77,"john marvin hunter ( march 18, 1880 -- june 29, 1957 ) was an author, historian, journalist, and printer who founded the frontier times museum in bandera, texas. the museum, which contains about 40,000 artifacts of the american west, opened in 1933, it is named for hunter 's `` frontier times '' magazine, which was first published in 1923.",https://en.wikipedia.org/wiki/index.php?curid=23553300
ricardo mella,ricardo,writer,Spanish,1861,64,"ricardo mella cea ( 1861 -- 1925 ) was one of the first writers, intellectuals and anarchist activists of the late 19th and early 20th centuries in spain. was characterized as an erudite in various subjects and versed in languages, mastering french, english and italian. federica montseny said: `` he is considered the deepest, most penetrating and most lucid of the spanish anarchist thinkers ''.",https://en.wikipedia.org/wiki/index.php?curid=25605338
elizabeth haldane,elizabeth,writer,Scottish,1862,75,"elizabeth sanderson haldane, ch, jp (; 27 may 1862 -- 24 december 1937 ) was an eminent public figure, author, biographer, philosopher, suffragist, nursing administrator, and social welfare worker. she was the sister of richard burdon haldane, 1st viscount haldane and john scott haldane, and became the first female justice of the peace in scotland in 1920. she was made a companion of honour in 1918.",https://en.wikipedia.org/wiki/index.php?curid=1540452
friedrich meinecke,friedrich,historian,German,1862,91,"friedrich meinecke ( october 20, 1862 -- february 6, 1954 ) was a german historian, with liberal and anti-semitic views who supported nazi invasion of poland. after world war ii as a representative of an older tradition, he criticized the nazi regime, but continued to express anti-semitic prejudice in 1948, he helped to found the free university of berlin, and remained an important figure to the end of his life.",https://en.wikipedia.org/wiki/index.php?curid=1685577
elizabeth montgomery,elizabeth,actor,American,1933,62,"elizabeth victoria montgomery ( april 15, 1933 -- may 18, 1995 ) was an american film and television actress whose career spanned five decades. she is best remembered as the star of the tv series `` bewitched ''. the daughter of robert montgomery, she began her career in the 1950s with a role on her father 's television series `` robert montgomery presents ''. in the 1960s, she became known for her role as samantha stephens on the abc sitcom `` bewitched ''. her work on the series earned her five primetime emmy award nominations and four golden globe award nominations. after `` bewitched '' ended its run in 1972, montgomery continued her career with roles in numerous television films, including `` a case of rape '' ( 1974 ), as ellen harrod, and `` the legend of lizzie borden '' ( 1975 ) in the title role. both roles earned her additional emmy award nominations. montgomery was married four times. with her third husband, the `` bewitched '' producer william asher, she had three children. her final marriage was to actor robert foxworth, with whom she lived for twenty years before marrying in 1993. montgomery died of colorectal cancer in may 1995, eight weeks after being diagnosed with the disease.",https://en.wikipedia.org/wiki/index.php?curid=332719
john d. ewing,john,editor,American,1892,60,"john dunbrack ewing, sr. ( february 13, 1892 - may 18, 1952 ), was a louisiana journalist who served as editor and publisher of both the `` shreveport times '' and the `` monroe news-star-world '' ( since the `` monroe news-star '' ) from 1931 until his death. he was also affiliated with radio station kwkh in shreveport, the seat of caddo parish in northwestern louisiana. kwkh was founded in 1922 and named in 1925 for its founder, w. k. henderson. ewing was born in new orleans to robert w. ewing, i, and the former may dunbrack, originally from nova scotia, canada. ewing 's mother died in 1906, when he was fourteen. he was educated at virginia military institute in lexington, from which he obtained his bachelor 's degree in 1913. he was a captain in the 32nd division ( red arrow ) in france during world war i. he was awarded the `` croix de guerre '' with star and the purple heart. after two years as the circulation manager of the former new orleans `` daily states '', he moved to shreveport in 1915 to become associate publisher of the `` shreveport times ''. when his father died in 1931, ewing became publisher of both `` the times '' and the two monroe newspapers. the three newspapers were known for their conservative editorials. ewing was a delegate to the 1940 democratic national convention, which met in chicago to nominate u.s. president franklin d. roosevelt for a third term. from 1938-1939, ewing was president of the southern newspaper publishers association. he headed the international broadcasting corp., the owners and operators of kwkh. he was a director of the kansas city southern and the louisiana and arkansas railroads. ewing married the former helen hamilton gray on december 27, 1919. they had two children, john d. ewing, jr., and helen may ewing clay. one of ewing 's nephews, robert ewing, iii ( 1935 -- 2007 ), was a nature photographer and a board member of the `` monroe news-star '', formerly owned by the ewing family. another relative was edmund graves brown, an executive at the `` monroe news-star '' from 1952 until the paper was sold in 1977 to the gannett company.",https://en.wikipedia.org/wiki/index.php?curid=8546745
sophie von scherer,sophie,painter,Austrian,1817,59,"sophie ritter von scherer ( 5 february 1817, vienna - 29 may 1876, graz ) was an austrian writer.",https://en.wikipedia.org/wiki/index.php?curid=40220036
maria jacobini,maria,actor,Italian,1892,52,maria jacobini ( 1892 -- 1944 ) was an italian film actress. she was married to the film director gennaro righelli and appeared in many of his silent films for the vesuvio film company. she worked in the german film industry in the mid-1920s.,https://en.wikipedia.org/wiki/index.php?curid=35869887
nathan brown ( missionary ),nathan,missionary,American,1807,78,"nathan brown (; 22 june 1807 -- 1 january 1886 ) was an american baptist missionary to india and japan, bible translator, and abolitionist. he is noted for his works on assamese language, grammar and script. in around 1843, based in sibsagar in assam, with the help of a local assamese priest converted to christianity, atmaram sharma, he took a key role in translating and publishing the new testament as ` amaar traankorta jisu christor natun niyom ' ( ) in 1848. in 1854, he published another book titled meaning ( roughly ) ` jesus christ and his holy messages ' in 1854. he also translated some prayers to assamese with his other missionary colleagues. his contribution to assamese language, ` grammatical notes of assamese language ', published by the american baptist missionary press in 1848. in 1846, with colleague cutter he published ` arunodoi ', the first assamese magazine. he also contributed to publishing of works of various contemporary assamese scholars, to name a few ` axom buranji ' ( history of assam, ) by kashinath phukan in 1844, ` mathematics ' in two parts by bokul kayastha in 1845, ` chutia buranji ' ( ) in 1850 etc.. the people of the indian state of assam consider him a pioneer in their native language, assamese and its literature.",https://en.wikipedia.org/wiki/index.php?curid=3271645
pierre choderlos de laclos,pierre,writer,French,1741,61,"pierre ambroise françois choderlos de laclos (; 18 october 1741 -- 5 september 1803 ) was a french novelist, official, freemason and army general, best known for writing the epistolary novel `` les liaisons dangereuses '' ( `` dangerous liaisons '' ) ( 1782 ). a unique case in french literature, he was for a long time considered to be as scandalous a writer as the marquis de sade or nicolas-edme rétif. he was a military officer with no illusions about human relations, and an amateur writer; however, his initial plan was to `` write a work which departed from the ordinary, which made a noise, and which would remain on earth after his death ''; from this point of view he mostly attained his goals, with the fame of his masterwork `` les liaisons dangereuses ''. it is one of the masterpieces of novelistic literature of the 18th century, which explores the amorous intrigues of the aristocracy. it has inspired a large number of critical and analytic commentaries, plays, and films.",https://en.wikipedia.org/wiki/index.php?curid=263306
francis kenna,francis,poet,Australian,1865,66,"francis kenna ( 21 september 1865 -- 23 june 1932 ), was an australian poet, journalist, and labor member of the legislative assembly in queensland. he edited the `` brisbane worker ''. he published banjo, of the overflow, a parody of banjo paterson 's `` clancy of the overflow '' in 1892, as part of the bulletin debate about the true nature of life in the australian bush. like many of his poems ( including those later published in `` phases '' ), it was first published in the sydney bulletin. in 1907 he married edith elvira stamp; they had two sons, herbert and vernon. kenna died in 1932 and was buried in lutwyche cemetery.",https://en.wikipedia.org/wiki/index.php?curid=19589479
derek marlowe,derek,author,British,1938,58,"derek william mario marlowe ( 21 may 1938 -- 14 november 1996 ) was an english playwright, novelist, screenwriter and painter.",https://en.wikipedia.org/wiki/index.php?curid=8679997
helen shaw ( actress ),helen,actor,American,1897,100,"helen shaw ( july 25, 1897 - september 8, 1997 ) was an american actress. she is best known for playing a kindly old woman on such shows as `` diff ` rent strokes '' and `` highway to heaven ''. perhaps her most famous role was steve martin 's grandmother in the 1989 comedy `` parenthood ''.",https://en.wikipedia.org/wiki/index.php?curid=33603273
charles le gai eaton,charles,academic,British,1921,89,"charles le gai eaton ( also known as hasan le gai eaton or hassan abdul hakeem; 1 january 1921 -- 2010 ) was a british diplomat, writer and sufist islamic scholar.",https://en.wikipedia.org/wiki/index.php?curid=6531870
dorothy gilman,dorothy,novelist,American,1923,88,"dorothy edith gilman ( june 25, 1923 -- february 2, 2012 ) was an american writer. she is best known for the mrs. pollifax series. emily pollifax, her heroine, became a spy in her 60s.",https://en.wikipedia.org/wiki/index.php?curid=4022218
alan muntz,alan,engineer,British,1899,85,frederick alan irving muntz ba fraes ( 7 june 1899 -- 7 march 1985 ) was a british consulting aeronautical engineer.,https://en.wikipedia.org/wiki/index.php?curid=29775290
ethna carbery,anna,journalist,Irish,1866,35,"ethna carbery ( born anna johnston, 3 december 1866 -- 21 april 1902 ) was an irish journalist, writer and poet. she is best known for the ballad `` roddy mccorley '' and the `` song of ciabhán ''; the latter was set to music by ivor gurney. along with alice milligan she published two irish nationalist magazines.",https://en.wikipedia.org/wiki/index.php?curid=1291403
john treadwell,john,lawyer,American,1745,77,"john treadwell ( november 23, 1745 -- august 18, 1823 ) was an american politician and the 21st governor of connecticut.",https://en.wikipedia.org/wiki/index.php?curid=14431107
jerry buss,jerry,businessperson,American,1933,80,"gerald hatten `` jerry '' buss ( january 27, 1933 -- february 18, 2013 ) was an american businessman, investor, chemist, and philanthropist. he was the majority owner of the los angeles lakers professional basketball team in the national basketball association ( nba ), winning 10 league championships that were highlighted by the team 's showtime era during the 1980s. he is a member of the naismith memorial basketball hall of fame as a contributor. buss also owned other professional sports franchises in southern california.",https://en.wikipedia.org/wiki/index.php?curid=1023874
roy olmstead,roy,officer,American,1886,79,"roy olmstead ( september 18, 1886 -- april 30, 1966 ) was one of the most successful and best-known bootleggers in the pacific northwest region during american prohibition. a former lieutenant in the seattle police department, he began to bootleg part-time while still on the force. following his arrest for that crime, he lost his job in law enforcement and turned to illegally importing and distributing alcohol from canada as a full-time and highly profitable occupation. eventually, wiretaps of his phones provided sufficient evidence for his arrest and prosecution, despite an appeal that reached the supreme court regarding the legality of the wiretap.",https://en.wikipedia.org/wiki/index.php?curid=10806186
ruth findlay,ruth,actor,American,1896,52,`` not to be confused with the later film actress ruth findlay ( 1917 -- 1976 ) '' ruth findlay ( 19 september 1896 -- 13 july 1949 ) was an american stage actress active over the early decades of the twentieth century.,https://en.wikipedia.org/wiki/index.php?curid=34215202
dornford yates,cecil,author,English,1885,74,"dornford yates was the pseudonym of the english novelist, cecil william mercer ( 7 august 1885 -- 5 march 1960 ), whose novels and short stories, some humorous ( the `` berry '' books ), some thrillers ( the `` chandos '' books ), were best-sellers in the 21-year interwar period between the first and second world wars. the pen name, `` dornford yates '', first in print in 1910, resulted from combining the surnames of his grandmothers -- the paternal eliza mary dornford, and the maternal harriet yates.",https://en.wikipedia.org/wiki/index.php?curid=180826
barbara harmer,barbara,pilot,British,1953,57,"barbara harmer ( 14 september 1953 -- 20 february 2011 ) was the first qualified female concorde pilot. born in loughton, essex, the youngest of four daughters, she was raised in bognor regis, a seaside resort town and civil parish in the arun district of west sussex, england, where she attended a convent school. she left school aged 15 to pursue a career in hairdressing. harmer 's first experience in the aviation industry was five years later when she left hairdressing to become an air traffic controller at london gatwick airport. when she took on the job of air traffic controller harmer decided to study for a levels with the intention of doing a law degree. she obtained a levels in geography, english law, constitutional law and politics. she also began flying lessons, gained her private pilot licence ( ppl ) and became an instructor at goodwood flying school. harmer studied for two years to gain a commercial pilot licence ( cpl ), which she obtained in may 1982. she then made over 100 applications before securing a job as pilot at genair, a small commuter airline based at humberside airport. in march 1984, harmer joined british caledonian and flew bac one-elevens for three years. she then started flying the long haul mcdonnell douglas dc-10. in 1987, british caledonian merged with british airways, the airline operating concorde in the uk. at that time, british airways employed over 3000 pilots, but only 60 of them were women and no woman had ever piloted concorde. harmer was chosen to undergo the intensive six-month conversion course for concorde in 1992. on 25 march 1993 harmer became the first qualified female concorde pilot and later that year made her first concorde flight as first officer to new york city 's john f. kennedy international airport ( jfk ). jacqueline auriol was the first woman to fly concorde as a test pilot. by the time concorde was withdrawn from service in october 2003, harmer had served 10 years as a pilot flying regular scheduled services. in 2001, an air france pilot, béatrice vialle, had become the second of only two women to fly concorde on regular routes by making some 35 trips between paris and new york before the service was withdrawn. after concorde, harmer converted to the boeing 777 until taking voluntary redundancy in 2009. harmer 's interests were not all in the air as she was a qualified commercial yachtmaster, often taking part in international events commanding fellow concorde crew members and winning several races. she also created a mediterranean-styled garden at her home in felpham, west sussex overlooking the english channel. harmer intended to take part in a transatlantic event in 2013 in her yacht archambault 35 but succumbed to cancer. she died at st. wilfrid 's hospice, chichester, aged 57.",https://en.wikipedia.org/wiki/index.php?curid=11738129
jim gibbons ( irish politician ),jim,farmer,Irish,1924,73,james `` jim '' gibbons ( 3 august 1924 -- 20 december 1997 ) was an irish fianna fáil politician. he was first elected in 1957 as a teachta dála ( td ) for carlow -- kilkenny. he held his seat until 1982. gibbons also served as minister for defence ( 1969 -- 70 ) and minister for agriculture ( 1970 -- 73 and 1977 -- 79 ).,https://en.wikipedia.org/wiki/index.php?curid=532918
juan pedro aladro kastriota,juan,diplomat,Spanish,1845,68,"juan pedro aladro y kastriota ( 1845 -- 1914 ), known as aladro kastrioti between albanians, born juan de aladro de perez y valasco, was a spanish nobleman, diplomat, and pretender of the throne of albania. he claimed descent from the kastrioti family through his paternal grandmother, a noblewoman that lived during the era of charles iii. he was referred as don aladro.",https://en.wikipedia.org/wiki/index.php?curid=31763709
Émile storms,Émile,soldier,Belgian,1846,71,"Émile pierre joseph storms ( 2 june 1846 - 12 january 1918 ) was a belgian soldier and explorer who rose to the rank of lieutenant-general. he is known for his work between 1882 and 1885 in establishing a european presence in the regions around lake tanganyika, during which he supported the white fathers missionaries and attempted to suppress the east african slave trade.",https://en.wikipedia.org/wiki/index.php?curid=39072977
bourvil,andré,actor,French,1917,53,"andré bourvil, born andré robert raimbourg (; 27 july 1917, prétot-vicquemare, france -- 23 september 1970, paris ), often known mononymously as bourvil, was a french actor and singer best known for his roles in comedy films, most notably in his collaboration with louis de funès in the films `` le corniaud '' ( 1965 ) and `` la grande vadrouille '' ( 1966 ). for his performance in `` le corniaud '', he won a special diploma at the 4th moscow international film festival.",https://en.wikipedia.org/wiki/index.php?curid=452399
stella young,stella,journalist,Australian,1982,32,"stella jane young ( 24 february 1982 -- 6 december 2014 ) was an australian comedian, journalist and disability advocate.",https://en.wikipedia.org/wiki/index.php?curid=40047515
dan beach bradley,dan,missionary,American,1804,68,"dan beach bradley ( july 18, 1804 -- june 23, 1873 ) was an american protestant missionary to siam from 1835 until his death. he is credited with numerous firsts, including: bringing the first thai-script printing press to siam, publishing the first thai newspaper and monolingual thai dictionary, performing the first surgery in siam, and changing the way the people of siam thought about western medicines and technology.",https://en.wikipedia.org/wiki/index.php?curid=2965520
maria corti,maria,scholar,Italian,1915,86,"maria corti ( 7 september 1915 -- 22 february 2002 ) was an italian philologist, literary critic, and novelist. considered one of the leading literary scholars of post-world war ii italy, she was awarded numerous prizes including the premio campiello for the entire body of her work. her works of fiction were informed by her literary scholarship but also had a distinctly autobiographical vein, particularly her `` voci del nord-est '' ( 1986 ) and `` ii canto delle sirene '' ( 1989 ). for most of her career she was based at the university of pavia where she established the `` fondo manoscritti di autori moderni e contemporanei '', an extensive curated archive of material on modern italian writers.",https://en.wikipedia.org/wiki/index.php?curid=44189663
georg büchner,georg,playwright,German,1813,23,"karl georg büchner ( 17 october 1813 -- 19 february 1837 ) was a german dramatist and writer of poetry and prose, considered part of the young germany movement. he was also a revolutionary, a natural scientist, and the brother of physician and philosopher ludwig büchner. his literary achievements, though few in number, are generally held in great esteem in germany and it is widely believed that, had it not been for his early death, he might have joined such central german literary figures as johann wolfgang von goethe and friedrich schiller at the summit of their profession.",https://en.wikipedia.org/wiki/index.php?curid=362820
cecil harmsworth king,cecil,publisher,British,1901,86,"cecil harmsworth king ( 20 february 1901 -- 17 april 1987 ) was chairman of daily mirror newspapers, sunday pictorial newspapers and the international publishing corporation ( 1963 -- 68 ), and a director at the bank of england ( 1965 -- 68 ).",https://en.wikipedia.org/wiki/index.php?curid=6315174
eric m. rogers,eric,educator,British,1902,87,"eric m. rogers ( 15 august 1902 -- 1 july 1990 ) was a british author and physics educator. he is perhaps best known for his 1960 textbook `` physics for the inquiring mind ''. the book, subtitled `` the methods, nature, and philosophy of physical science '', was based on courses he gave at princeton university, where he taught from 1942 to 1971. rogers also was the driving force behind the nuffield program in physics education in the 1960s.",https://en.wikipedia.org/wiki/index.php?curid=15395349
archibald gracie iv,archibald,writer,American,1859,53,"colonel archibald gracie iv ( january 17, 1859 -- december 4, 1912 ) was an american writer, amateur historian, real estate investor, and survivor of the sinking of the rms `` titanic ''. he was the last survivor to leave the ship; and, the first adult survivor to die after rescue. he survived the sinking by climbing aboard an overturned collapsible lifeboat, and wrote a popular book about the disaster which is still in print today.",https://en.wikipedia.org/wiki/index.php?curid=7424477
william price ( physician ),william,doctor,Welsh,1800,92,"william price ( 4 march 1800 -- 23 january 1893 ) was a welsh physician known for his support of welsh nationalism, chartism and his involvement with the neo-druidic religious movement. he has been recognised as one of the most significant figures of 19th-century wales, and one of the most unusual in victorian britain. born to a lower-class household in monmouthshire, wales, he trained as a doctor in london, england before returning to wales, becoming interested in the chartists ' ideas regarding equal democratic rights for all men. following their failed 1839 uprising, he escaped government persecution by fleeing to france, where he became convinced that an ancient prophecy predicted that he would liberate his country from english rule. returning to wales, he tried reviving what he believed to be the religion of the ancient druids, the `` celtic '' iron age ritual specialists of western europe. in doing so, he became one of the most prominent proponents of the neo-druidic movement, something that had been developing since the welsh nationalist iolo morganwg 's activities in the late 18th century. after cremating his dead son in 1884, price was arrested and put on trial by those who believed cremation was illegal in britain; however, he successfully argued that there was no legislation that specifically outlawed it, which paved the way for the cremation act of 1902. upon his death, he was cremated in a ceremony watched by 20,000 onlookers. known for adhering to such principles as equal democratic rights for all men, vegetarianism, cremation and the abolition of marriage, all of which were highly controversial at the time, he has been widely labelled as an `` eccentric '' and a `` radical ''. since his death he has been remembered as `` one of the great welshman of all time '' with a permanent exhibition and statue dedicated to him being opened in the town of llantrisant, where he had lived for much of his later life.",https://en.wikipedia.org/wiki/index.php?curid=859103
arthur woods,arthur,educator,American,1870,72,"colonel arthur hale woods ( january 29, 1870 -- may 12, 1942 ) was an american educator, journalist, military and law enforcement officer. one of the most prominent police reformers during the early 20th century, he served as deputy new york city police commissioner from 1907 to 1909 and later became new york city police commissioner in 1914. during his time with the nypd, he was largely responsible for initiating criminology and sociology in modern policing. in his later years, woods worked with the division of military aeronautics and was involved in government committees on unemployment under the administrations of presidents warren g. harding and herbert hoover. woods was also an important public servant as trustee for the board of education and presided as president and chairman of the board of rockefeller center.",https://en.wikipedia.org/wiki/index.php?curid=21703002
george barnes ( australian politician ),george,businessperson,Australian,1856,93,"george powell barnes ( 20 september 1856 -- 9 december 1949 ), generally referred to by his full name or as `` george p. barnes '', was a queensland businessman and politician.",https://en.wikipedia.org/wiki/index.php?curid=42722633
